Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path;I1040;I1085;I1100;I1195;I1120;I1130;I1200;I1245;I1256;I1265;I1280;I1285;I1288;I1290;I1295;I1305;I1310;I1350;I1400;I2295;I2296;I2297
METAL MECÁNICA;TUBACEX, S.A.;2018;S1;2018090000;2046;<repositoryPath>/2018090000.xbrl;391380000;551457000;942837000;288754000;156384000;497699000;942837000;16280000;-7095000;9185000;7469000;;7469000;0.05;0.05;7469000;;856000;8325000;42;25;17
METAL MECÁNICA;TUBACEX, S.A.;2018;S2;2019025932;152;<repositoryPath>/2019025932.xbrl;393516000;598718000;992234000;300415000;174048000;517771000;992234000;;;;;;;;;;;;;42;25;17
METAL MECÁNICA;TUBOS REUNIDOS, S.A.;2018;S1;2018111783;4596;<repositoryPath>/2018111783.xbrl;385285000;181706000;566991000;130237000;251302000;185452000;566991000;-9638000;-5033000;-14671000;-12715000;;-12715000;-0.07;-0.07;-12715000;;-1106000;-13821000;10;7;3
METAL MECÁNICA;TUBOS REUNIDOS, S.A.;2018;S2;2019025487;1106;<repositoryPath>/2019025487.xbrl;359716000;167668000;527384000;105121000;236233000;186030000;527384000;;;;;;;;;;;;;10;7;3
ALIMENTACIÓN;BARON DE LEY, S.A.;2018;S1;2018090096;238;<repositoryPath>/2018090096.xbrl;117492000;205798000;323290000;257557000;3178000;62555000;323290000;11347000;3103000;14450000;10837000;;10837000;2.64;;10837000;;-1224000;9613000;35;25;10
ALIMENTACIÓN;BARON DE LEY, S.A.;2018;S2;2019026680;152;<repositoryPath>/2019026680.xbrl;122903000;209695000;332598000;264546000;2735000;65317000;332598000;;;;;;;;;;;;;38;28;10
ALIMENTACIÓN;BIOSEARCH, S.A.;2018;S1;2018092096;3275;<repositoryPath>/2018092096.xbrl;;;;;;;;;;;;;;;;;;;;152;89;63
ALIMENTACIÓN;BIOSEARCH, S.A.;2018;S2;2019025701;4118;<repositoryPath>/2019025701.xbrl;0;0;0;0;0;0;0;;;;;;;;;;;;;151;91;60
ALIMENTACIÓN;BODEGAS BILBAINAS, S.A.;2018;S1;2019036691;436;<repositoryPath>/2019036691.xbrl;0;0;0;0;0;0;0;;;;;;;;;;;;;40;32;8
ALIMENTACIÓN;BODEGAS RIOJANAS, S.A.;2018;S1;2018092125;905;<repositoryPath>/2018092125.xbrl;17289000;32951000;50240000;20835000;19195000;10210000;50240000;582000;-199000;383000;295000;;295000;0.05;0.05;295000;;;295000;89;60;29
ALIMENTACIÓN;BODEGAS RIOJANAS, S.A.;2018;S2;2019026665;1644;<repositoryPath>/2019026665.xbrl;17970000;33709000;51679000;19866000;13764000;18049000;51679000;;;;;;;;;;;;;90;60;30
ALIMENTACIÓN;DEOLEO, S.A.;2018;S1;2018092845;3824;<repositoryPath>/2018092845.xbrl;857041000;228454000;1085495000;252418000;725881000;107196000;1085495000;-42305000;-17436000;-59741000;-49377000;;-49377000;-0.04;-0.04;-49377000;;2186000;-47191000;286;168;118
ALIMENTACIÓN;DEOLEO, S.A.;2018;S2;2019026657;1598;<repositoryPath>/2019026657.xbrl;583914000;224757000;808671000;35310000;687215000;86146000;808671000;;;;;;;;;;;;;296;174;122
ALIMENTACIÓN;EBRO FOODS, S.A.;2018;S1;2018089696;2303;<repositoryPath>/2018089696.xbrl;2534911000;1327818000;3862729000;2105747000;962515000;794467000;3862729000;113287000;-4187000;111884000;80214000;0;80214000;0.496;0.496;80214000;-8834000;21875000;93255000;60;36;24
ALIMENTACIÓN;EBRO FOODS, S.A.;2018;S2;2019026516;2905;<repositoryPath>/2019026516.xbrl;2591318000;1241107000;3832425000;2190202000;840003000;802220000;3832425000;;;;;;;;;;;;;59;35;24
ALIMENTACIÓN;NATRA, S.A.;2018;S1;2018110804;3272;<repositoryPath>/2018110804.xbrl;145191000;107073000;252264000;34613000;147737000;69914000;252264000;10875000;-2273000;8602000;10493000;;10493000;0.18;0.18;10493000;;3845000;14338000;0;0;0
ALIMENTACIÓN;NATRA, S.A.;2018;S2;2019026864;153;<repositoryPath>/2019026864.xbrl;151787000;119892000;271679000;45851000;145856000;79972000;271679000;;;;;;;;;;;;;0;;
ALIMENTACIÓN;NATURHOUSE HEALTH, S.A.;2018;S1;2018088060;3454;<repositoryPath>/2018088060.xbrl;10349000;37159000;47508000;27879000;4294000;15335000;47508000;15215000;80000;15640000;10935000;0;10935000;0.18;0.18;10935000;;-359000;10576000;209;18;191
ALIMENTACIÓN;NATURHOUSE HEALTH, S.A.;2018;S2;2019026599;158;<repositoryPath>/2019026599.xbrl;9598000;24517000;34115000;18840000;4077000;11198000;34115000;;;;;;;;;;;;;216;35;181
ALIMENTACIÓN;VISCOFAN, S.A.;2018;S1;2018090873;1961;<repositoryPath>/2018090873.xbrl;505069000;507362000;1012431000;733826000;119387000;159218000;1012431000;78528000;2302000;80830000;65697000;0;65697000;1.41;1.41;65697000;;-10621000;55076000;790;585;205
ALIMENTACIÓN;VISCOFAN, S.A.;2018;S2;2019026647;174;<repositoryPath>/2019026647.xbrl;527555000;506187000;1033742000;757626000;102422000;173694000;1033742000;;;;;;;;;;;;;797;600;197
CONSTRUCCIÓN;ABENGOA, S.A.;2018;S1;2018111836;11358;<repositoryPath>/2018111836.xbrl;870916830;3863418464;4734335294;-2762649901;2314382958;5182602237;4734335294;73783559;-258504099;-77226510;-76214271;-20466416;-96680687;-0.01;-0.01;-96680687;;284512007;187831320;47;26;21
CONSTRUCCIÓN;ABENGOA, S.A.;2018;S2;2019024403;2578;<repositoryPath>/2019024403.xbrl;715349000;3114430000;3829779000;-4251016000;606803000;7473992000;3829779000;;;;;;;;;;;;;144;86;58
CONSTRUCCIÓN;ACCIONA, S.A.;2018;S1;2018090953;6293;<repositoryPath>/2018090953.xbrl;11334126000;4303231000;15637357000;3378583000;7583063000;4675711000;15637357000;399766000;-150377000;260793000;204730000;;204730000;3.28;3.28;204730000;;39038000;243768000;340;181;159
CONSTRUCCIÓN;ACCIONA, S.A.;2018;S2;2019026831;171;<repositoryPath>/2019026831.xbrl;10002082000;4935511000;14937593000;3495138000;5868594000;5573861000;14937593000;;;;;;;;;;;;;347;185;162
CONSTRUCCIÓN;ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.;2018;S1;2018089835;7097;<repositoryPath>/2018089835.xbrl;18378720000;28196514000;46575234000;3209064000;8097027000;35269143000;46575234000;823803000;-148002000;803818000;590298000;0;590298000;1.44;1.44;590298000;-4478000;-22000000;563820000;53;31;22
